UQ subtype name,serial,name,descr
J25A1,5,,
J25A1,12,,
J25A1,2,,
J25A1,9,,
J25A1,4,,
J25A1,10,,
J25A91,1,,
J25A91,2,,
J25A3,5,,
J25A3,17,,
J25A3,3,,
J25A3,11,,
J25A3,16,,
J25A3,7,,
J25A3,18,,
J25A3,14,,
J25A3,10,,
J25A3,8,,
J25A4,17,,
J25A4,18,,
J25A4,20,,
J25A5,10,,
J25A5,13,,
J25A5,11,,
J25A5,9,,
J25A5,12,,
J25A6,3,,
J25A6,10,,
J25A6,15,,
J25A6,14,,
J25A6,12,,
J25A6,8,,
J25A6,13,,
J25A6,1,,
J25A6,16,,
J25A6,11,,
J25A6,7,,
J25A82,22,,
J25A82,26,,
J25A82,23,,
J25A82,19,,
J25A7,4,,
J25A7,5,,
J25A8,2,,
J25A9,2,,
J25A9,10,,
J25A9,11,,
J25A9,13,,
J25A15,4,,
J25A15,5,,
J25A15,6,,
J25A15,8,,
J25A15,10,,
J25A10,5,,
J25A10,7,,
J25A10,11,,
J25A10,12,,
J25A10,13,,
J25A10,14,,
J25A11,2,,
J25A11,4,,
J25A11,6,,
J25A12,2,,
J25A12,4,,
J25A12,8,,
J25A12,7,,
J25A12,6,,
J25A12,5,,
J25A13,4,,
J25A13,5,,
J25A13,6,,
J25A13,7,,
J25A13,8,,
J25A16,14,,
J25A78,54,,
J25AC11,18,,
J25A24,1,,
J25A24,2,,
J25A24,22,,
J25A24,30,,
J25A25,1,,
J25A25,2,,
J25A25,8,,
J25A25,10,,
J25A22,4,,
J25A22,5,,
J25A22,7,,
J25A23,3,,
J25A23,4,,
J25A23,5,,
J25A23,6,,
J25AC15,16,,
J25AC15,17,,
J25AC15,12,,
J25AC15,15,,
J25AC15,11,,
J25AC15,13,,
J25AC15,14,,
J25AC15,20,,
J25AB1,27,,
J25AB1,12,,
J25AB1,25,,
J25AB1,21,,
J25AB1,28,,
J25AB1,23,,
J25AB2,4,,
J25AB2,5,,
J25AB2,6,,
J25AB2,7,,
J25AB2,8,,
J25AB2,3,,
J25AB3,1,,
J25AB3,2,,
J25AB4,2,,
J25AB4,3,,
J25AB4,4,,
J25AB4,5,,
J25AB4,6,,
J25AB4,7,,
J25AB4,8,,
J25AB4,9,,
J25AB4,10,,
J25AB4,11,,
J25AB4,12,,
J25AB4,13,,
J25AB4,14,,
J25AB4,15,,
J25AB4,16,,
J25AB4,18,,
J25AB4,20,,
J25AB4,21,,
J25AB4,22,,
J25AB4,23,,
J25AB5,1,,
J25AB5,2,,
J25AB5,3,,
J25A26,17,,
J25A26,19,,
J25A26,23,,
J25A27,30,,
J25A27,31,,
J25AB11,8,,
J25AB11,1,,
J25AB11,3,,
J25AB11,9,,
J25AB11,5,,
J25AB11,11,,
J25AB11,10,,
J25AB11,4,,
J25AB11,6,,
J25AB11,2,,
J25AB13,3,,
J25AB13,10,,
J25AB13,1,,
J25AB14,2,,
J25AB14,5,,
J25AB15,4,,
J25AB15,5,,
J25AB15,6,,
J25AB10,2,,
J25AB10,3,,
J25AB10,4,,
J25AB10,5,,
J25AB10,6,,
J25A87,9,,
J25A87,15,,
J25A87,17,,
J25A87,20,,
J25A88,2,,
J25A88,3,,
J25A88,4,,
J25A88,5,,
J25A88,6,,
J25AB6,5,,
J25AB6,7,,
J25AB6,8,,
J25AB6,6,,
J25AB6,4,,
J25A28,25,,
J25A28,24,,
J25A28,29,,
J25A28,26,,
J25A28,34,,
J25A28,35,,
J25A28,23,,
J25A28,28,,
J25A28,22,,
J25AC11,10,,
J25AC11,22,,
J25AC11,30,,
J25AC11,17,,
J25AB7,5,,
J25AB7,6,,
J25A81,4,,
J25A81,7,,
J25A81,1,,
J25A81,8,,
J25A81,2,,
J25A81,5,,
J25AB12,7,,
J25A73,4,,
J25A73,8,,
J25A73,5,,
J25A73,6,,
J25A73,7,,
J25A73,1,,
J25A76,13,,
J25A76,11,,
J25A76,8,,
J25A76,12,,
J25A76,15,,
J25A76,10,,
J25A76,4,,
J25A76,16,,
J25A76,9,,
J25A76,14,,
J25A76,6,,
J25A76,7,,
J25A77,18,,
J25AB8,5,,
J25AB8,4,,
J25AB8,6,,
J25AB8,7,,
J25AB8,8,,
J25AB16,1,,
J25AB16,7,,
J25AB16,12,,
J25AB16,8,,
J25AB16,11,,
J25AB16,14,,
J25AB16,6,,
J25AB16,10,,
J25AB16,15,,
J25AB16,3,,
J25AB9,5,,
J25AB9,2,,
J25AB9,6,,
J25AB9,3,,
J25AB9,9,,
J25AB9,14,,
J25AB9,1,,
J25AB9,8,,
J25AB9,12,,
J25AB9,11,,
J25AB9,13,,
J25A86,1,,
J25A86,2,,
J25A86,3,,
J25A86,4,,
J25A86,5,,
J25AB,7,,
J25AB,11,,
J25AB,12,,
J25A89,1,,
J25A89,2,,
J25A89,4,,
J25A89,5,,
J25A31,1,,
J25A31,3,,
J25A31,8,,
J25A31,5,,
J25A31,4,,
J25A31,7,,
J25A31,6,,
J25A32,42,,
J25A32,2,,
J25A32,16,,
J25A32,22,,
J25A32,18,,
J25A32,40,,
J25A32,32,,
J25A32,13,,
J25A32,20,,
J25A32,5,,
J25A32,36,,
J25A32,38,,
J25A32,8,,
J25A32,14,,
J25A32,35,,
J25A32,34,,
J25A32,1,,
J25A32,4,,
J25A32,27,,
J25A32,10,,
J25A32,23,,
J25A32,17,,
J25A32,12,,
J25A32,26,,
J25A32,15,,
J25A32,24,,
J25A32,19,,
J25A32,37,,
J25A32,6,,
J25A33,21,,
J25A33,16,,
J25A33,5,,
J25A92,38,,
J25A92,31,,
J25A92,34,,
J25A92,45,,
J25A92,33,,
J25A92,41,,
J25A92,37,,
J25A92,39,,
J25A92,42,,
J25A92,40,,
J25A35,1,,
J25A35,2,,
J25A35,3,,
J25A36,1,,
J25A36,9,,
J25A36,6,,
J25A36,4,,
J25A36,7,,
J25A36,5,,
J25A37,1,,
J25A37,2,,
J25A37,3,,
J25A38,1,,
J25A38,2,,
J25A38,3,,
J25A39,1,,
J25A39,2,,
J25A40,3,,
J25A40,9,,
J25A40,11,,
J25A40,8,,
J25A41,23,,
J25A41,36,,
J25A41,34,,
J25A41,26,,
J25A41,14,,
J25A41,32,,
J25A41,38,,
J25A41,29,,
J25A41,27,,
J25A41,28,,
J25A41,39,,
J25A41,37,,
J25A41,21,,
J25A42,6,,
J25A42,7,,
J25A42,5,,
J25AC16,10,,
J25AC16,11,,
J25AC16,9,,
J25AC16,7,,
J25AC16,6,,
J25AC16,1,,
J25AC16,8,,
J25A43,5,,
J25A43,12,,
J25A43,15,,
J25A44,4,,
J25A44,5,,
J25A44,6,,
J25A44,7,,
